language_name,language_code,language_family,region,SIB,Flores xx-eng,Flores eng-xx
Kimbundu,kmb_Latn,Atlantic-Congo,Africa,34.3,22.2,14.3
Northern Kurdish,kmr_Latn,Indo-European,Asia 1,61.8,44.9,10.6
Central Kanuri (Arabic script),knc_Arab,Nilotic,Africa,20.1,17.7,7.2
Central Kanuri (Latin script),knc_Latn,Nilotic,Africa,32.8,22.6,12.8
Kikongo,kon_Latn,Atlantic-Congo,Africa,54.9,25.6,11.8
Korean,kor_Hang,Koreanic,Asia 4,77.0,54.6,31.8
Lao,lao_Laoo,Tai-Kadai,Asia 3,77.0,54.3,9.9
Ligurian,lij_Latn,Indo-European,Europe 1,72.1,55.2,27.1
Limburgish,lim_Latn,Indo-European,Europe 1,72.1,58.6,27.9
Lingala,lin_Latn,Atlantic-Congo,Africa,53.4,30.3,14.2
Lithuanian,lit_Latn,Indo-European,Europe 1,76.5,57.6,43.1
Lombard,lmo_Latn,Indo-European,Europe 1,73.0,54.7,27.2
Latgalian,ltg_Latn,Indo-European,Europe 2,67.6,42.9,25.0
Luxembourgish,ltz_Latn,Indo-European,Europe 1,73.5,64.7,33.0
Luba-Kasai,lua_Latn,Atlantic-Congo,Africa,40.2,26.2,10.0
Ganda,lug_Latn,Atlantic-Congo,Africa,43.6,31.3,11.0
Luo,luo_Latn,Nilotic,Africa,36.3,22.3,10.3
Mizo,lus_Latn,Sino-Tibetan,Asia 2,59.3,31.5,5.1
Standard Latvian,lvs_Latn,Indo-European,Europe 1,76.0,59.0,42.9
Magahi,mag_Deva,Indo-European,Asia 2,74.0,58.9,27.9
Maithili,mai_Deva,Indo-European,Asia 2,77.0,56.0,23.4
Malayalam,mal_Mlym,Dravidian,Asia 2,76.0,56.6,8.4
Marathi,mar_Deva,Indo-European,Asia 2,77.5,58.1,40.9
Minangkabau (Arabic script),min_Arab,Austronesian,Asia 3,42.2,28.0,2.2
Minangkabau (Latin script),min_Latn,Austronesian,Asia 3,60.3,49.1,34.7
Macedonian,mkd_Cyrl,Indo-European,Europe 2,76.5,63.1,50.3
Maltese,mlt_Latn,Afro-Asiatic,Europe 1,78.9,68.8,36.2
Meitei (Bengali script),mni_Beng,Sino-Tibetan,Asia 2,48.5,24.9,6.0
Mossi,mos_Latn,Atlantic-Congo,Africa,32.4,21.5,9.2
Maori,mri_Latn,Austronesian,Americas/Oceania,52.5,36.1,17.0
Burmese,mya_Mymr,Sino-Tibetan,Asia 3,68.6,47.1,4.8
Dutch,nld_Latn,Indo-European,Europe 1,78.4,57.3,54.5
Norwegian Nynorsk,nno_Latn,Indo-European,Europe 1,77.5,65.9,53.1
Norwegian Bokmål,nob_Latn,Indo-European,Europe 1,75.0,64.9,57.7
Nepali,npi_Deva,Indo-European,Asia 2,75.5,59.7,35.4
N'ko,nqo_Nkoo,Atlantic-Congo,Africa,3.4,,
Northern Sotho,nso_Latn,Atlantic-Congo,Africa,52.9,38.8,12.4
Nuer,nus_Latn,Nilotic,Africa,27.0,19.9,3.3
Nyanja,nya_Latn,Atlantic-Congo,Africa,58.8,40.4,13.0
Occitan,oci_Latn,Indo-European,Europe 1,76.0,67.9,38.4
Odia,ory_Orya,Indo-European,Asia 2,72.5,51.8,4.0
Pangasinan,pag_Latn,Austronesian,Asia 3,65.7,42.6,23.5
Eastern Panjabi,pan_Guru,Indo-European,Asia 2,76.0,58.0,19.2
Papiamento,pap_Latn,Indo-European,Americas/Oceania,73.0,62.9,33.3
Southern Pashto,pbt_Arab,Indo-European,Asia 1,68.6,49.6,13.5
Western Persian,pes_Arab,Indo-European,Asia 1,76.5,58.5,47.0
Plateau Malagasy,plt_Latn,Austronesian,Africa,60.3,44.6,23.6
Polish,pol_Latn,Indo-European,Europe 2,79.4,55.5,48.0
Portuguese,por_Latn,Indo-European,Europe 1,76.5,69.0,67.4
Dari,prs_Arab,Indo-European,Asia 1,74.0,59.1,43.9
Ayacucho Quechua,quy_Latn,Quechuan,Americas/Oceania,45.6,26.2,9.9
Romanian,ron_Latn,Indo-European,Europe 2,78.9,64.9,61.4
Rundi,run_Latn,Atlantic-Congo,Africa,60.3,34.8,13.7
Russian,rus_Cyrl,Indo-European,Europe 2,76.0,58.8,55.3
Sango,sag_Latn,Atlantic-Congo,Africa,35.3,21.7,9.4
Sanskrit,san_Deva,Indo-European,Asia 2,70.1,38.2,10.8
Santali,sat_Olck,Austroasiatic,Asia 2,59.8,34.9,0.7
Sicilian,scn_Latn,Indo-European,Europe 1,67.6,57.5,26.9
Shan,shn_Mymr,Tai-Kadai,Asia 3,46.1,26.8,2.0
Sinhala,sin_Sinh,Indo-European,Asia 2,72.5,52.5,4.9
Slovak,slk_Latn,Indo-European,Europe 2,77.0,62.0,51.1
Slovenian,slv_Latn,Indo-European,Europe 1,77.5,59.3,47.3
Samoan,smo_Latn,Austronesian,Americas/Oceania,68.1,41.0,11.7
Shona,sna_Latn,Atlantic-Congo,Africa,63.7,40.0,18.4
Sindhi,snd_Arab,Indo-European,Asia 2,70.1,53.7,10.9
Somali,som_Latn,Afro-Asiatic,Africa,65.7,45.9,23.6
Southern Sotho,sot_Latn,Atlantic-Congo,Africa,55.4,41.7,14.6
Spanish,spa_Latn,Indo-European,Europe 1,77.9,55.9,55.5
Sardinian,srd_Latn,Indo-European,Europe 1,66.7,57.2,26.6
Serbian,srp_Cyrl,Indo-European,Europe 2,77.5,64.4,23.4
Swati,ssw_Latn,Atlantic-Congo,Africa,55.9,36.4,5.4
